x,c1,c2,dc1,dc2,flux1,flux2
-1.0,0.6,0.0,7.620639662674547e-05,2.917459132912892e-05,0.0,0.0
-0.99875,0.6,1.8982675915446426e-149,7.599242796936477e-05,2.917459132912892e-05,0.0,0.0
-0.9975,0.6,5.093891686292939e-149,7.577869088316619e-05,2.917459132912892e-05,0.0,0.0
-0.99625,0.6,1.176581840693698e-148,-9.679282615743277e-05,2.917459132912892e-05,0.0,0.0
-0.995,0.6,2.6451775781439342e-148,-6.945413162268395e-05,2.917459132912892e-05,0.0,0.0
-0.99375,0.6,5.911671482786256e-148,2.323061246449172e-05,2.917459132912892e-05,0.0,0.0
-0.9925,0.6,1.3187534549374823e-147,-1.7353459403963216e-05,2.917459132912892e-05,0.0,0.0
-0.99125,0.6,2.9387749088368814e-147,0.00010411598770137832,2.917459132912892e-05,0.0,0.0
-0.99,0.6,6.543170306470309e-147,4.922078678338515e-05,2.917459132912892e-05,0.0,0.0
-0.98875,0.6,1.4556033739721614e-146,0.0001093395563535275,2.917459132912892e-05,0.0,0.0
-0.9875,0.6,3.235440269569303e-146,-0.00018971392069099777,2.917459132912892e-05,0.0,0.0
-0.98625,0.6,7.18554270706019e-146,3.6858816195388035e-05,2.917459132912892e-05,0.0,0.0
-0.985,0.6,1.594488998509236e-145,6.513911670168509e-05,2.917459132912892e-05,0.0,0.0
-0.98375,0.6,3.5352413079222856e-145,0.00011599510371173771,2.917459132912892e-05,0.0,0.0
-0.9825,0.6,7.831626830771714e-145,0.00016962761335446473,2.917459132912892e-05,0.0,0.0
-0.98125,0.6,1.733485021141253e-144,6.015018819621558e-05,2.917459132912892e-05,0.0,0.0
-0.98,0.6,3.833744663584267e-144,-1.5491987420172643e-05,2.917459132912892e-05,0.0,0.0
-0.97875,0.6,8.471514470019331e-144,7.895117024877738e-05,2.917459132912892e-05,0.0,0.0
-0.9775,0.6,1.8703957573810586e-143,1.1575956418249662e-05,2.917459132912892e-05,0.0,0.0
-0.97625,0.6,4.126105587389203e-143,-8.837306142277217e-06,2.917459132912892e-05,0.0,0.0
-0.975,0.6,9.094552635359663e-143,-2.919731988730066e-05,2.917459132912892e-05,0.0,0.0
-0.97375,0.6,2.0028863950703124e-142,5.344597511362794e-06,2.917459132912892e-05,0.0,0.0
-0.9725,0.6,4.4072233692746705e-142,-3.633451989548394e-05,2.917459132912892e-05,0.0,0.0
-0.97125,0.6,9.689634051183666e-142,2.6922552529279868e-06,2.917459132912892e-05,0.0,0.0
-0.97,0.6,2.1285460649138872e-141,-6.489772654681292e-05,2.917459132912892e-05,0.0,0.0
-0.96875,0.6,4.671882309030095e-141,9.692990386325862e-06,2.917459132912892e-05,0.0,0.0
-0.9675,0.6,1.0245512649509254e-140,-3.679490013974465e-05,2.917459132912892e-05,0.0,0.0
-0.96625,0.6,2.2449581577674717e-140,-4.869492433304247e-06,2.917459132912892e-05,0.0,0.0
-0.965,0.6,4.914907652288849e-140,-9.141401302262463e-05,2.917459132912892e-05,0.0,0.0
-0.96375,0.6,1.0751147613963493e-139,5.051733713977151e-05,2.917459132912892e-05,0.0,0.0
-0.9625,0.6,2.349775849698699e-139,8.640353776392517e-05,2.917459132912892e-05,0.0,0.0
-0.96125,0.6,5.131330558560596e-139,-3.0674339598972144e-05,2.917459132912892e-05,0.0,0.0
-0.96,0.6,1.119606192743754e-138,-7.243864877922209e-05,2.917459132912892e-05,0.0,0.0
-0.95875,0.6,2.4407996412720594e-138,-8.638362398949763e-05,2.917459132912892e-05,0.0,0.0
-0.9575,0.6,5.3165549395312313e-138,-4.109045593215049e-05,2.917459132912892e-05,0.0,0.0
-0.95625,0.6,1.1570699497465475e-137,4.739319832371321e-05,2.917459132912892e-05,0.0,0.0
-0.955,0.6,2.5160533949855506e-137,8.668959647732487e-05,2.917459132912892e-05,0.0,0.0
-0.95375,0.6,5.46651845797902e-137,-5.286719044721936e-05,2.917459132912892e-05,0.0,0.0
-0.9525,0.6,1.1866764067755454e-136,-7.517541878465857e-05,2.917459132912892e-05,0.0,0.0
-0.95125,0.6,2.573855238111769e-136,0.00013137104717065426,2.917459132912892e-05,0.0,0.0
-0.95,0.6,5.577839881156418e-136,-8.68513217250676e-06,2.917459132912892e-05,0.0,0.0
-0.94875,0.6,1.2077523257567529e-135,7.144386049887211e-05,2.917459132912892e-05,0.0,0.0
-0.9475,0.6,2.6128798014548812e-135,9.56257932049571e-05,2.917459132912892e-05,0.0,0.0
-0.94625,0.6,5.647945366489176e-135,-0.00012972133063154955,2.917459132912892e-05,0.0,0.0
-0.945,0.6,1.2198062245034528e-134,3.057522789058909e-05,2.917459132912892e-05,0.0,0.0
-0.94375,0.6,2.6322085914901415e-134,4.334505054008872e-05,2.917459132912892e-05,0.0,0.0
-0.9425,0.6,5.675167117944576e-134,8.071375762973624e-05,2.917459132912892e-05,0.0,0.0
-0.94125,0.6,1.2225473790858988e-133,2.8347202460828665e-05,2.917459132912892e-05,0.0,0.0
-0.94,0.6,2.6313658306718955e-133,1.4732592926198014e-05,2.917459132912892e-05,0.0,0.0
-0.93875,0.6,5.658809147397476e-133,-2.6151529225533972e-05,2.917459132912892e-05,0.0,0.0
-0.9375,0.6,1.2158974370686682e-132,8.657755801113272e-05,2.917459132912892e-05,0.0,0.0
-0.93625,0.6,2.6103378182844924e-132,0.00013416931464731716,2.917459132912892e-05,0.0,0.0
-0.935,0.6,5.5991765306722477e-132,-4.911996693830529e-05,2.917459132912892e-05,0.0,0.0
-0.93375,0.6,1.199993996089019e-131,-0.000157712808742639,2.917459132912892e-05,0.0,0.0
-0.9325,0.6,2.569574717158655e-131,5.0823023499797605e-05,2.917459132912892e-05,0.0,0.0
-0.93125,0.6,5.497566456746439e-131,3.9084642513530025e-05,2.917459132912892e-05,0.0,0.0
-0.9299999999999999,0.6,1.1751859257547156e-130,-5.1426716555783125e-05,2.917459132912892e-05,0.0,0.0
-0.92875,0.6,2.509974603536795e-130,-6.988956264031907e-05,2.917459132912892e-05,0.0,0.0
-0.9275,0.6,5.356221403323644e-130,-7.390490492967755e-05,2.917459132912892e-05,0.0,0.0
-0.92625,0.6,1.142020651652839e-129,-9.240210652781391e-06,2.917459132912892e-05,0.0,0.0
