D11,D21,D12,D22
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
5.798094458112383e-05,5.733114140354294e-06,6.289345687620527e-06,7.021866167721241e-05
