x,c1,c2,c3,dc1,dc2,dc3,flux1,flux2,flux3
-1.0,0.6,0.0,0.0,7.620639662674547e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.99875,0.6,5.597752472677909e-128,1.3194814115123282e-128,7.599242796936477e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9975,0.6,1.399528490464376e-127,3.2989165509961053e-128,7.577869088316619e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.99625,0.6,2.938324241865314e-127,6.926108714275798e-128,-9.679282615743277e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.995,0.6,5.942022472920502e-127,1.4006314566560954e-127,-6.945413162268395e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.99375,0.6,1.1901855318969431e-126,2.8054611082823613e-127,2.323061246449172e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9925,0.6,2.3769721827903553e-126,5.602910500566219e-127,-1.7353459403963216e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.99125,0.6,4.741025955822083e-126,1.1175370205699794e-126,0.00010411598770137832,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.99,0.6,9.44790453499216e-126,2.227024948407805e-126,4.922078678338515e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.98875,0.6,1.8812967609597672e-125,4.4345228156136026e-126,0.0001093395563535275,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9875,0.6,3.7432474931741375e-125,8.823443891170408e-126,-0.00018971392069099777,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.98625,0.6,7.442378854677357e-125,1.7542898876129384e-125,3.6858816195388035e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.985,0.6,1.478589215307696e-124,3.4852755536862426e-125,6.513911670168509e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.98375,0.6,2.9353226506055446e-124,6.919033474897928e-125,0.00011599510371173771,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9825,0.6,5.8228634461986864e-124,1.3725437336742818e-124,0.00016962761335446473,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.98125,0.6,1.1542228768347645e-123,2.720691274148423e-124,6.015018819621558e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
