x,c1,c2,c3,dc1,dc2,dc3,flux1,flux2,flux3
-1.0,0.6,0.0,0.0,7.620639662674547e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.99875,0.6,-2.043552269775182e-164,-9.263246216353385e-164,7.599242796936477e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9975,0.6,-5.865372892288977e-164,-2.6587229529477556e-163,7.577869088316619e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.99625,0.6,-1.478341392742237e-163,-6.70119405084005e-163,-9.679282615743277e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.995,0.6,-3.652138543122155e-163,-1.65548290795109e-162,-6.945413162268395e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.99375,0.6,-8.986445201552684e-163,-4.0734781166575156e-162,2.323061246449172e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9925,0.6,-2.20810856470134e-162,-1.0009165710998644e-161,-1.7353459403963216e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.99125,0.6,-5.420362013228712e-162,-2.4570033589515326e-161,0.00010411598770137832,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.99,0.6,-1.329356392952097e-161,-6.0258578942800534e-161,4.922078678338515e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.98875,0.6,-3.2573506806148618e-161,-1.4765289742679916e-160,0.0001093395563535275,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9875,0.6,-7.974401741096956e-161,-3.614727543231611e-160,-0.00018971392069099777,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.98625,0.6,-1.9504826337876715e-160,-8.84136958213667e-160,3.6858816195388035e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.985,0.6,-4.76646282660098e-160,-2.1605964964506635e-159,6.513911670168509e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.98375,0.6,-1.1637514176804932e-159,-5.275184822060203e-159,0.00011599510371173771,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9825,0.6,-2.8387939240655386e-159,-1.286800805882986e-158,0.00016962761335446473,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.98125,0.6,-6.91857864606855e-159,-3.136132038980752e-158,6.015018819621558e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.98,0.6,-1.6846473661368296e-158,-7.636361237764416e-158,-1.5491987420172643e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.97875,0.6,-4.098358838088006e-158,-1.857750719748106e-157,7.895117024877738e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9775,0.6,-9.96138076724842e-158,-4.515408001382847e-157,1.1575956418249662e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.97625,0.6,-2.4190086665663317e-157,-1.0965157686111837e-156,-8.837306142277217e-06,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.975,0.6,-5.868989968870296e-157,-2.6603625425707723e-156,-2.919731988730066e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.97375,0.6,-1.4226468463853747e-156,-6.448735474936591e-156,5.344597511362794e-06,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9725,0.6,-3.4453898830379105e-156,-1.5617655231996738e-155,-3.633451989548394e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.97125,0.6,-8.336560523333837e-156,-3.778890996199909e-155,2.6922552529279868e-06,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.97,0.6,-2.015312688613072e-155,-9.135238630141712e-155,-6.489772654681292e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.96875,0.6,-4.867485903587642e-155,-2.206389386091995e-154,9.692990386325862e-06,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
