x,c1,c2,dc1,dc2,flux1,flux2
-1.0,0.6,0.0,0.0002155303955078125,2.3365020751953125e-05,0.0,0.0
-0.99875,0.6,-6.53620119569769e-187,0.0002154766506468877,2.3365020751953125e-05,0.0,0.0
-0.9975,0.6,-2.013850339477614e-186,0.0002154227040335536,2.3365020751953125e-05,0.0,0.0
-0.99625,0.6,-5.54777142342521e-186,0.00021093339933548122,2.3365020751953125e-05,0.0,0.0
-0.995,0.6,-1.5058146866117858e-185,-1.3051933348178856e-05,2.3365020751953125e-05,0.0,0.0
-0.99375,0.6,-4.075703437766283e-185,0.0001073789378278889,2.3365020751953125e-05,0.0,0.0
-0.9925,0.6,-1.1018173936288053e-184,4.47463848441839e-05,2.3365020751953125e-05,0.0,0.0
-0.99125,0.6,-2.9756837729324195e-184,0.00013312518223421648,2.3365020751953125e-05,0.0,0.0
-0.99,0.6,-8.028723771265325e-184,6.0352513790130606e-05,2.3365020751953125e-05,0.0,0.0
-0.98875,0.6,-2.1641645298587173e-183,-3.2864321926608685e-05,2.3365020751953125e-05,0.0,0.0
-0.9875,0.6,-5.827979127561001e-183,-8.719231467694044e-05,2.3365020751953125e-05,0.0,0.0
-0.98625,0.6,-1.5679398117716318e-182,-6.31690795603208e-05,2.3365020751953125e-05,0.0,0.0
-0.985,0.6,-4.214287681942645e-182,1.763034522533417e-05,2.3365020751953125e-05,0.0,0.0
-0.98375,0.6,-1.1316237718453006e-181,-0.00016615045982412992,2.3365020751953125e-05,0.0,0.0
-0.9825,0.6,-3.0357271663438044e-181,-0.00019239097826182844,2.3365020751953125e-05,0.0,0.0
-0.98125,0.6,-8.135905643354118e-181,-0.0001234697009203955,2.3365020751953125e-05,0.0,0.0
-0.98,0.6,-2.1783680532148916e-180,6.026391029357909e-05,2.3365020751953125e-05,0.0,0.0
-0.97875,0.6,-5.8269125979649194e-180,-0.00018441890167538079,2.3365020751953125e-05,0.0,0.0
-0.9775,0.6,-1.55713883169916e-179,-4.6923607587814335e-05,2.3365020751953125e-05,0.0,0.0
-0.97625,0.6,-4.157166809222412e-179,5.0133278381545107e-05,2.3365020751953125e-05,0.0,0.0
-0.975,0.6,-1.1087880825907237e-178,4.808437079191195e-06,2.3365020751953125e-05,0.0,0.0
-0.97375,0.6,-2.9544750516972684e-178,-9.512177122291179e-05,2.3365020751953125e-05,0.0,0.0
-0.9725,0.6,-7.864886886080642e-178,0.00015273715337738394,2.3365020751953125e-05,0.0,0.0
-0.97125,0.6,-2.0916292552417763e-177,-3.0677844127640133e-05,2.3365020751953125e-05,0.0,0.0
-0.97,0.6,-5.557208653202536e-177,8.318519592285156e-05,2.3365020751953125e-05,0.0,0.0
-0.96875,0.6,-1.4750548295694756e-176,0.00013034504809184,2.3365020751953125e-05,0.0,0.0
-0.9675,0.6,-3.911459023079771e-176,0.00013558692563325165,2.3365020751953125e-05,0.0,0.0
-0.96625,0.6,-1.0362111510502876e-175,-0.0002858313860464841,2.3365020751953125e-05,0.0,0.0
-0.965,0.6,-2.7424346587245663e-175,-0.00010028985127806662,2.3365020751953125e-05,0.0,0.0
-0.96375,0.6,-7.251077740789971e-175,0.00017935149672441183,2.3365020751953125e-05,0.0,0.0
-0.9625,0.6,-1.9153439459442563e-174,-0.00012131560128182171,2.3365020751953125e-05,0.0,0.0
-0.96125,0.6,-5.054388479978747e-174,-3.215891653671869e-06,2.3365020751953125e-05,0.0,0.0
-0.96,0.6,-1.3325017598017958e-173,1.8312072753906236e-05,2.3365020751953125e-05,0.0,0.0
-0.95875,0.6,-3.5094897983805115e-173,9.814964798279111e-06,2.3365020751953125e-05,0.0,0.0
-0.9575,0.6,-9.234149276479004e-173,1.695858569815755e-05,2.3365020751953125e-05,0.0,0.0
-0.95625,0.6,-2.4273153590397278e-172,6.348220660584048e-05,2.3365020751953125e-05,0.0,0.0
-0.955,0.6,-6.374287032837879e-172,-4.3677837550640125e-05,2.3365020751953125e-05,0.0,0.0
-0.95375,0.6,-1.672294720367548e-171,0.00011658459742553532,2.3365020751953125e-05,0.0,0.0
-0.9525,0.6,-4.382980156994721e-171,3.359018120914698e-05,2.3365020751953125e-05,0.0,0.0
-0.95125,0.6,-1.147628605731648e-170,-5.867937556700783e-05,2.3365020751953125e-05,0.0,0.0
-0.95,0.6,-3.0019820512812538e-170,3.389671444892882e-05,2.3365020751953125e-05,0.0,0.0
-0.94875,0.6,-7.844935454286744e-170,-4.630266831256448e-05,2.3365020751953125e-05,0.0,0.0
-0.9475,0.6,-2.0480705180474422e-169,1.447740398347378e-05,2.3365020751953125e-05,0.0,0.0
-0.94625,0.6,-5.341637050833845e-169,-0.00019044568634359166,2.3365020751953125e-05,0.0,0.0
-0.945,0.6,-1.3918020567316878e-168,1.1064194291830059e-05,2.3365020751953125e-05,0.0,0.0
-0.94375,0.6,-3.6228795142300717e-168,-5.960393173154458e-06,2.3365020751953125e-05,0.0,0.0
-0.9425,0.6,-9.421136940731461e-168,-4.235473275184631e-05,2.3365020751953125e-05,0.0,0.0
-0.94125,0.6,-2.4475154392372736e-167,-7.446397943189368e-05,2.3365020751953125e-05,0.0,0.0
-0.94,0.6,-6.352138385554776e-167,9.386718749999998e-05,2.3365020751953125e-05,0.0,0.0
-0.93875,0.6,-1.6469732221203383e-166,-8.464316678000614e-05,2.3365020751953125e-05,0.0,0.0
-0.9375,0.6,-4.266039677677789e-166,0.00010812736582010984,2.3365020751953125e-05,0.0,0.0
-0.93625,0.6,-1.103912615460177e-165,0.00011478335184045136,2.3365020751953125e-05,0.0,0.0
-0.935,0.6,-2.8537481605516574e-165,2.344955891370774e-05,2.3365020751953125e-05,0.0,0.0
-0.93375,0.6,-7.369998896551198e-165,-0.00010859175026416776,2.3365020751953125e-05,0.0,0.0
-0.9325,0.6,-1.901471056753719e-164,-4.638043737038969e-05,2.3365020751953125e-05,0.0,0.0
-0.93125,0.6,-4.900971999584723e-164,-0.00012653342535486444,2.3365020751953125e-05,0.0,0.0
-0.9299999999999999,0.6,-1.2619571733409204e-163,-8.651314616203308e-05,2.3365020751953125e-05,0.0,0.0
-0.92875,0.6,-3.246209859638875e-163,-2.674432203406467e-05,2.3365020751953125e-05,0.0,0.0
-0.9275,0.6,-8.342146951512703e-163,-2.9704318884760142e-05,2.3365020751953125e-05,0.0,0.0
-0.92625,0.6,-2.1416477130342688e-162,0.000144887641442474,2.3365020751953125e-05,0.0,0.0
-0.925,0.6,-5.49271256375788e-162,0.00015861432999372482,2.3365020751953125e-05,0.0,0.0
-0.92375,0.6,-1.4073238229492702e-161,7.44338585017249e-05,2.3365020751953125e-05,0.0,0.0
-0.9225,0.6,-3.602211595973213e-161,-2.5334474872797733e-05,2.3365020751953125e-05,0.0,0.0
-0.92125,0.6,-9.211112795870176e-161,-7.273973524570465e-05,2.3365020751953125e-05,0.0,0.0
-0.92,0.6,-2.3530023839034346e-160,-2.0101013183593753e-05,2.3365020751953125e-05,0.0,0.0
-0.91875,0.6,-6.004816018766045e-160,-0.0001168013029382564,2.3365020751953125e-05,0.0,0.0
-0.9175,0.6,-1.5308893490023897e-159,7.606706582009944e-07,2.3365020751953125e-05,0.0,0.0
-0.91625,0.6,-3.8990099215444434e-159,5.213816978503025e-06,2.3365020751953125e-05,0.0,0.0
-0.915,0.6,-9.920441657413047e-159,-2.893013030290604e-05,2.3365020751953125e-05,0.0,0.0
-0.91375,0.6,-2.521584276739295e-158,8.732922647614032e-05,2.3365020751953125e-05,0.0,0.0
-0.9125,0.6,-6.4029699947336125e-158,-9.281915379688142e-05,2.3365020751953125e-05,0.0,0.0
-0.91125,0.6,-1.624256557740392e-157,-0.00018858463048469274,2.3365020751953125e-05,0.0,0.0
-0.91,0.6,-4.116163896913798e-157,0.00016140342831611637,2.3365020751953125e-05,0.0,0.0
-0.90875,0.6,-1.042066038152306e-156,-9.31775901420042e-05,2.3365020751953125e-05,0.0,0.0
-0.9075,0.6,-2.635494184676112e-156,0.0001147930005006492,2.3365020751953125e-05,0.0,0.0
-0.90625,0.6,-6.658751444891916e-156,1.2830460036639124e-05,2.3365020751953125e-05,0.0,0.0
-0.905,0.6,-1.680688202840503e-155,2.6298578679561634e-05,2.3365020751953125e-05,0.0,0.0
-0.90375,0.6,-4.237842278151771e-155,-0.00027597749918932096,2.3365020751953125e-05,0.0,0.0
-0.9025,0.6,-1.0674938977195112e-154,2.5304169151932018e-05,2.3365020751953125e-05,0.0,0.0
-0.90125,0.6,-2.6862638699327927e-154,-0.0001295411146455444,2.3365020751953125e-05,0.0,0.0
-0.9,0.6,-6.75296163838803e-154,-0.00012430429458618167,2.3365020751953125e-05,0.0,0.0
-0.8987499999999999,0.6,-1.6959065599239837e-153,0.0001592905384930782,2.3365020751953125e-05,0.0,0.0
-0.8975,0.6,-4.2547227644182165e-153,-2.780892129987478e-05,2.3365020751953125e-05,0.0,0.0
-0.89625,0.6,-1.0663554841729006e-152,4.396680590230971e-05,2.3365020751953125e-05,0.0,0.0
-0.895,0.6,-2.6698927946840564e-152,7.085279196500778e-05,2.3365020751953125e-05,0.0,0.0
-0.89375,0.6,-6.677999771456775e-152,-5.019533273298299e-05,2.3365020751953125e-05,0.0,0.0
-0.8925,0.6,-1.6686275889319708e-151,-0.00012103752514347433,2.3365020751953125e-05,0.0,0.0
-0.89125,0.6,-4.165168418422233e-151,1.3080317687708886e-05,2.3365020751953125e-05,0.0,0.0
-0.89,0.6,-1.0386411473235603e-150,-1.7875934839248656e-05,2.3365020751953125e-05,0.0,0.0
-0.88875,0.6,-2.587366639923745e-150,-2.7617742505390204e-05,2.3365020751953125e-05,0.0,0.0
-0.8875,0.6,-6.438869178329053e-150,-0.00012979342602193353,2.3365020751953125e-05,0.0,0.0
-0.88625,0.6,-1.6007373864539361e-149,9.372627974255012e-05,2.3365020751953125e-05,0.0,0.0
-0.885,0.6,-3.975475837830536e-149,-7.769134178757667e-05,2.3365020751953125e-05,0.0,0.0
-0.88375,0.6,-9.863166720989823e-149,5.083870770642534e-05,2.3365020751953125e-05,0.0,0.0
-0.8825,0.6,-2.44456471823678e-148,-1.5851230155676602e-05,2.3365020751953125e-05,0.0,0.0
-0.88125,0.6,-6.052632379550296e-148,-8.447807835182175e-05,2.3365020751953125e-05,0.0,0.0
-0.88,0.6,-1.4970776596901587e-147,-4.2655944824218745e-05,2.3365020751953125e-05,0.0,0.0
-0.87875,0.6,-3.69914470611646e-147,5.049040168523789e-05,2.3365020751953125e-05,0.0,0.0
-0.8775,0.6,-9.130928736185519e-147,-5.072487784549594e-05,2.3365020751953125e-05,0.0,0.0
-0.87625,0.6,-2.251567183850254e-146,-0.00019831001498736442,2.3365020751953125e-05,0.0,0.0
-0.875,0.6,-5.546396010336071e-146,-8.592335507273674e-05,2.3365020751953125e-05,0.0,0.0
-0.87375,0.6,-1.3648739027796676e-145,-2.6141867539845405e-05,2.3365020751953125e-05,0.0,0.0
-0.8725,0.6,-3.355286106828559e-145,-0.00010197612002491952,2.3365020751953125e-05,0.0,0.0
-0.87125,0.6,-8.239894363116891e-145,2.421557903289792e-06,2.3365020751953125e-05,0.0,0.0
-0.87,0.6,-2.0214754400801712e-144,-0.00017955875396728516,2.3365020751953125e-05,0.0,0.0
-0.86875,0.6,-4.9541564515104905e-144,8.713876130059362e-05,2.3365020751953125e-05,0.0,0.0
-0.8674999999999999,0.6,-1.2129002112564982e-143,-2.2070238143205633e-05,2.3365020751953125e-05,0.0,0.0
-0.86625,0.6,-2.966430755958885e-143,-1.2377118673175575e-05,2.3365020751953125e-05,0.0,0.0
-0.865,0.6,-7.247643639674547e-143,4.448558315634725e-05,2.3365020751953125e-05,0.0,0.0
