R,a,n,d,0
6.0452024904555973e-05,4.806680815304526e-06
4.806680815304526e-06,5.119254677041712e-05
R,a,n,d,1
3.081365428445353e-06,4.1824660716196536e-07
4.1824660716196536e-07,3.2757271570640297e-06
1.8214720012287794e-06,6.421031450262101e-07
6.421031450262101e-07,2.8635873511789745e-07
R,a,n,d,2
8.829067197586176e-07,6.071532799160748e-08
6.071532799160748e-08,1.0729748757900579e-06
2.9563415006744735e-07,4.2074039853193146e-08
4.2074039853193146e-08,9.63159514796479e-07
R,a,n,d,3
4.090306102189997e-08,2.8222765983419248e-09
2.8222765983419248e-09,1.2562600295062926e-07
1.1855442884115649e-07,7.2898143329047615e-09
7.2898143329047615e-09,1.1011581260490218e-07
R,a,n,d,4
1.2554742605916468e-08,5.018986204728706e-10
5.018986204728706e-10,1.6581535427125857e-09
6.0432207370974945e-09,6.336101055630523e-10
6.336101055630523e-10,1.0891339090151778e-08
