D11,D21,D12,D22
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
6.262915273655875e-05,5.080160955485138e-06,5.080160955485138e-06,5.357160413327643e-05
