x,c1,c2,dc1,dc2,flux1,flux2
-1.0,0.6,0.0,0.0002155303955078125,2.3365020751953125e-05,0.0,0.0
-0.99875,0.6,-2.3899818873262668e-178,0.0002154766506468877,2.3365020751953125e-05,0.0,0.0
-0.9975,0.6,-7.108405589919204e-178,0.0002154227040335536,2.3365020751953125e-05,0.0,0.0
-0.99625,0.6,-1.8741442432410448e-177,0.00021093339933548122,2.3365020751953125e-05,0.0,0.0
-0.995,0.6,-4.856943094469622e-177,-1.3051933348178856e-05,2.3365020751953125e-05,0.0,0.0
-0.99375,0.6,-1.2545306729521731e-176,0.0001073789378278889,2.3365020751953125e-05,0.0,0.0
-0.9925,0.6,-3.236247140027658e-176,4.47463848441839e-05,2.3365020751953125e-05,0.0,0.0
-0.99125,0.6,-8.340175274560748e-176,0.00013312518223421648,2.3365020751953125e-05,0.0,0.0
-0.99,0.6,-2.1473410420809713e-175,6.0352513790130606e-05,2.3365020751953125e-05,0.0,0.0
-0.98875,0.6,-5.523595302426666e-175,-3.2864321926608685e-05,2.3365020751953125e-05,0.0,0.0
-0.9875,0.6,-1.4195079090170096e-174,-8.719231467694044e-05,2.3365020751953125e-05,0.0,0.0
-0.98625,0.6,-3.6445902625240865e-174,-6.31690795603208e-05,2.3365020751953125e-05,0.0,0.0
-0.985,0.6,-9.348765556197304e-174,1.763034522533417e-05,2.3365020751953125e-05,0.0,0.0
-0.98375,0.6,-2.395820181527922e-173,-0.00016615045982412992,2.3365020751953125e-05,0.0,0.0
-0.9825,0.6,-6.13406376549372e-173,-0.00019239097826182844,2.3365020751953125e-05,0.0,0.0
-0.98125,0.6,-1.5690478790450504e-172,-0.0001234697009203955,2.3365020751953125e-05,0.0,0.0
-0.98,0.6,-4.009753483820641e-172,6.026391029357909e-05,2.3365020751953125e-05,0.0,0.0
-0.97875,0.6,-1.0237465296007113e-171,-0.00018441890167538079,2.3365020751953125e-05,0.0,0.0
-0.9775,0.6,-2.611320799271576e-171,-4.6923607587814335e-05,2.3365020751953125e-05,0.0,0.0
-0.97625,0.6,-6.654581579383615e-171,5.0133278381545107e-05,2.3365020751953125e-05,0.0,0.0
-0.975,0.6,-1.694235365530881e-170,4.808437079191195e-06,2.3365020751953125e-05,0.0,0.0
-0.97375,0.6,-4.3094209614262395e-170,-9.512177122291179e-05,2.3365020751953125e-05,0.0,0.0
-0.9725,0.6,-1.0951056182496477e-169,0.00015273715337738394,2.3365020751953125e-05,0.0,0.0
-0.97125,0.6,-2.780255622077296e-169,-3.0677844127640133e-05,2.3365020751953125e-05,0.0,0.0
-0.97,0.6,-7.051878225462341e-169,8.318519592285156e-05,2.3365020751953125e-05,0.0,0.0
-0.96875,0.6,-1.786964639883756e-168,0.00013034504809184,2.3365020751953125e-05,0.0,0.0
-0.9675,0.6,-4.523951224139547e-168,0.00013558692563325165,2.3365020751953125e-05,0.0,0.0
-0.96625,0.6,-1.1442222560345704e-167,-0.0002858313860464841,2.3365020751953125e-05,0.0,0.0
-0.965,0.6,-2.8912997021785546e-167,-0.00010028985127806662,2.3365020751953125e-05,0.0,0.0
-0.96375,0.6,-7.299040894110134e-167,0.00017935149672441183,2.3365020751953125e-05,0.0,0.0
-0.9625,0.6,-1.8408913965502892e-166,-0.00012131560128182171,2.3365020751953125e-05,0.0,0.0
-0.96125,0.6,-4.638525471046707e-166,-3.215891653671869e-06,2.3365020751953125e-05,0.0,0.0
-0.96,0.6,-1.1676719574704105e-165,1.8312072753906236e-05,2.3365020751953125e-05,0.0,0.0
-0.95875,0.6,-2.9366392717419455e-165,9.814964798279111e-06,2.3365020751953125e-05,0.0,0.0
-0.9575,0.6,-7.378514267942361e-165,1.695858569815755e-05,2.3365020751953125e-05,0.0,0.0
-0.95625,0.6,-1.8521473195013455e-164,6.348220660584048e-05,2.3365020751953125e-05,0.0,0.0
-0.955,0.6,-4.644833383326476e-164,-4.3677837550640125e-05,2.3365020751953125e-05,0.0,0.0
-0.95375,0.6,-1.1637306637927196e-163,0.00011658459742553532,2.3365020751953125e-05,0.0,0.0
-0.9525,0.6,-2.912877766761607e-163,3.359018120914698e-05,2.3365020751953125e-05,0.0,0.0
-0.95125,0.6,-7.284155474339624e-163,-5.867937556700783e-05,2.3365020751953125e-05,0.0,0.0
-0.95,0.6,-1.819797378474106e-162,3.389671444892882e-05,2.3365020751953125e-05,0.0,0.0
-0.94875,0.6,-4.542066240286019e-162,-4.630266831256448e-05,2.3365020751953125e-05,0.0,0.0
-0.9475,0.6,-1.1325834481974822e-161,1.447740398347378e-05,2.3365020751953125e-05,0.0,0.0
-0.94625,0.6,-2.821454127197215e-161,-0.00019044568634359166,2.3365020751953125e-05,0.0,0.0
-0.945,0.6,-7.0220114095775706e-161,1.1064194291830059e-05,2.3365020751953125e-05,0.0,0.0
-0.94375,0.6,-1.745965023326468e-160,-5.960393173154458e-06,2.3365020751953125e-05,0.0,0.0
-0.9425,0.6,-4.337053070328429e-160,-4.235473275184631e-05,2.3365020751953125e-05,0.0,0.0
-0.94125,0.6,-1.0763136279007911e-159,-7.446397943189368e-05,2.3365020751953125e-05,0.0,0.0
-0.94,0.6,-2.6685021953245095e-159,9.386718749999998e-05,2.3365020751953125e-05,0.0,0.0
-0.93875,0.6,-6.609682961861436e-159,-8.464316678000614e-05,2.3365020751953125e-05,0.0,0.0
-0.9375,0.6,-1.63560243548468e-158,0.00010812736582010984,2.3365020751953125e-05,0.0,0.0
-0.93625,0.6,-4.043511104496296e-158,0.00011478335184045136,2.3365020751953125e-05,0.0,0.0
-0.935,0.6,-9.986723353664495e-158,2.344955891370774e-05,2.3365020751953125e-05,0.0,0.0
-0.93375,0.6,-2.4641696396550113e-157,-0.00010859175026416776,2.3365020751953125e-05,0.0,0.0
-0.9325,0.6,-6.074368080224488e-157,-4.638043737038969e-05,2.3365020751953125e-05,0.0,0.0
-0.93125,0.6,-1.4959402303077388e-156,-0.00012653342535486444,2.3365020751953125e-05,0.0,0.0
-0.9299999999999999,0.6,-3.6805246354500526e-156,-8.651314616203308e-05,2.3365020751953125e-05,0.0,0.0
-0.92875,0.6,-9.046639438185502e-156,-2.674432203406467e-05,2.3365020751953125e-05,0.0,0.0
-0.9275,0.6,-2.2215015171425654e-155,-2.9704318884760142e-05,2.3365020751953125e-05,0.0,0.0
-0.92625,0.6,-5.449886302074587e-155,0.000144887641442474,2.3365020751953125e-05,0.0,0.0
-0.925,0.6,-1.3357017020848886e-154,0.00015861432999372482,2.3365020751953125e-05,0.0,0.0
-0.92375,0.6,-3.270487104615706e-154,7.44338585017249e-05,2.3365020751953125e-05,0.0,0.0
-0.9225,0.6,-8.000111525128265e-154,-2.5334474872797733e-05,2.3365020751953125e-05,0.0,0.0
-0.92125,0.6,-1.9550595678804776e-153,-7.273973524570465e-05,2.3365020751953125e-05,0.0,0.0
-0.92,0.6,-4.7731382556532157e-153,-2.0101013183593753e-05,2.3365020751953125e-05,0.0,0.0
-0.91875,0.6,-1.1642005886248774e-152,-0.0001168013029382564,2.3365020751953125e-05,0.0,0.0
-0.9175,0.6,-2.836815619597091e-152,7.606706582009944e-07,2.3365020751953125e-05,0.0,0.0
-0.91625,0.6,-6.905793895208843e-152,5.213816978503025e-06,2.3365020751953125e-05,0.0,0.0
-0.915,0.6,-1.6794807769246646e-151,-2.893013030290604e-05,2.3365020751953125e-05,0.0,0.0
-0.91375,0.6,-4.080516112806232e-151,8.732922647614032e-05,2.3365020751953125e-05,0.0,0.0
-0.9125,0.6,-9.904521638909518e-151,-9.281915379688142e-05,2.3365020751953125e-05,0.0,0.0
-0.91125,0.6,-2.4017620298013211e-150,-0.00018858463048469274,2.3365020751953125e-05,0.0,0.0
-0.91,0.6,-5.818408628587409e-150,0.00016140342831611637,2.3365020751953125e-05,0.0,0.0
-0.90875,0.6,-1.4081727956836133e-149,-9.31775901420042e-05,2.3365020751953125e-05,0.0,0.0
-0.9075,0.6,-3.4047472797638508e-149,0.0001147930005006492,2.3365020751953125e-05,0.0,0.0
-0.90625,0.6,-8.224144381378608e-149,1.2830460036639124e-05,2.3365020751953125e-05,0.0,0.0
-0.905,0.6,-1.98460095588475e-148,2.6298578679561634e-05,2.3365020751953125e-05,0.0,0.0
-0.90375,0.6,-4.7844498242820516e-148,-0.00027597749918932096,2.3365020751953125e-05,0.0,0.0
-0.9025,0.6,-1.1523034525102102e-147,2.5304169151932018e-05,2.3365020751953125e-05,0.0,0.0
-0.90125,0.6,-2.7725378562816234e-147,-0.0001295411146455444,2.3365020751953125e-05,0.0,0.0
-0.9,0.6,-6.664438759280284e-147,-0.00012430429458618167,2.3365020751953125e-05,0.0,0.0
-0.8987499999999999,0.6,-1.600386449876277e-146,0.0001592905384930782,2.3365020751953125e-05,0.0,0.0
-0.8975,0.6,-3.8393795670697265e-146,-2.780892129987478e-05,2.3365020751953125e-05,0.0,0.0
-0.89625,0.6,-9.201779972010062e-146,4.396680590230971e-05,2.3365020751953125e-05,0.0,0.0
-0.895,0.6,-2.203215423264761e-145,7.085279196500778e-05,2.3365020751953125e-05,0.0,0.0
-0.89375,0.6,-5.2700667660365275e-145,-5.019533273298299e-05,2.3365020751953125e-05,0.0,0.0
-0.8925,0.6,-1.2593574589753391e-144,-0.00012103752514347433,2.3365020751953125e-05,0.0,0.0
-0.89125,0.6,-3.006459649226329e-144,1.3080317687708886e-05,2.3365020751953125e-05,0.0,0.0
-0.89,0.6,-7.170260116931941e-144,-1.7875934839248656e-05,2.3365020751953125e-05,0.0,0.0
-0.88875,0.6,-1.7083911977382708e-143,-2.7617742505390204e-05,2.3365020751953125e-05,0.0,0.0
-0.8875,0.6,-4.0664209447596925e-143,-0.00012979342602193353,2.3365020751953125e-05,0.0,0.0
-0.88625,0.6,-9.66962535881261e-143,9.372627974255012e-05,2.3365020751953125e-05,0.0,0.0
-0.885,0.6,-2.297095124571851e-142,-7.769134178757667e-05,2.3365020751953125e-05,0.0,0.0
-0.88375,0.6,-5.451550521387361e-142,5.083870770642534e-05,2.3365020751953125e-05,0.0,0.0
-0.8825,0.6,-1.2925059261780548e-141,-1.5851230155676602e-05,2.3365020751953125e-05,0.0,0.0
-0.88125,0.6,-3.0613726438215024e-141,-8.447807835182175e-05,2.3365020751953125e-05,0.0,0.0
-0.88,0.6,-7.243871118188942e-141,-4.2655944824218745e-05,2.3365020751953125e-05,0.0,0.0
-0.87875,0.6,-1.7123628917657322e-140,5.049040168523789e-05,2.3365020751953125e-05,0.0,0.0
-0.8775,0.6,-4.0438141480967255e-140,-5.072487784549594e-05,2.3365020751953125e-05,0.0,0.0
-0.87625,0.6,-9.540179918867883e-140,-0.00019831001498736442,2.3365020751953125e-05,0.0,0.0
-0.875,0.6,-2.248493583388608e-139,-8.592335507273674e-05,2.3365020751953125e-05,0.0,0.0
-0.87375,0.6,-5.294149011366883e-139,-2.6141867539845405e-05,2.3365020751953125e-05,0.0,0.0
-0.8725,0.6,-1.2452879965682233e-138,-0.00010197612002491952,2.3365020751953125e-05,0.0,0.0
-0.87125,0.6,-2.926255795516507e-138,2.421557903289792e-06,2.3365020751953125e-05,0.0,0.0
-0.87,0.6,-6.869471517653177e-138,-0.00017955875396728516,2.3365020751953125e-05,0.0,0.0
-0.86875,0.6,-1.6110263153109672e-137,8.713876130059362e-05,2.3365020751953125e-05,0.0,0.0
-0.8674999999999999,0.6,-3.774417352165962e-137,-2.2070238143205633e-05,2.3365020751953125e-05,0.0,0.0
-0.86625,0.6,-8.834152575100577e-137,-1.2377118673175575e-05,2.3365020751953125e-05,0.0,0.0
-0.865,0.6,-2.065604983529388e-136,4.448558315634725e-05,2.3365020751953125e-05,0.0,0.0
-0.86375,0.6,-4.824993834041004e-136,-2.8174892012029885e-05,2.3365020751953125e-05,0.0,0.0
-0.8625,0.6,-1.1259343717926507e-135,-9.563341736793521e-05,2.3365020751953125e-05,0.0,0.0
-0.86125,0.6,-2.624798250027051e-135,-5.099668917478995e-05,2.3365020751953125e-05,0.0,0.0
-0.86,0.6,-6.112868118068843e-135,-0.00014385040283203127,2.3365020751953125e-05,0.0,0.0
-0.85875,0.6,-1.4221980669050587e-134,-4.224411008413882e-05,2.3365020751953125e-05,0.0,0.0
-0.8574999999999999,0.6,-3.305527791403404e-134,-2.758258489891884e-05,2.3365020751953125e-05,0.0,0.0
-0.85625,0.6,-7.675150930173829e-134,-9.857053519226618e-06,2.3365020751953125e-05,0.0,0.0
