D11,D21,D12,D22
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
6.336399193265905e-05,2.0300509274813436e-06,2.0300509274813436e-06,5.697370069724585e-05
